review,rating,date,bank,source
በጣም አሪፍ እና ለአጠቃቀም ቀላል ነው,4,2024-08-17,CBE,Google Play
There is no option even to check your transactions. And is not users friendly.,2,2024-08-16,CBE,Google Play
DANTRO BAND,5,2024-08-16,CBE,Google Play
Fuad Abduraman,5,2024-08-15,CBE,Google Play
Thanks to the number of branches. Mobile banking is not very satisfactory.,1,2024-08-14,CBE,Google Play
መቼም ይሻላል 889ከመዛግ በርቱ,5,2024-08-14,CBE,Google Play
it is not good it's like eka eka chewata,1,2024-08-14,CBE,Google Play
Increadable app,5,2024-08-13,CBE,Google Play
I like it this app,5,2024-08-13,CBE,Google Play
You're genuine,1,2024-08-13,CBE,Google Play
It is good and best app,5,2024-08-13,CBE,Google Play
"Good aps 4ever,",5,2024-08-12,CBE,Google Play
To Day not working why,2,2024-08-12,CBE,Google Play
It is good app,4,2024-08-11,CBE,Google Play
ለምንድነው ብር ከተላላክን በኋላ Transaction history የማያሳየን ?,1,2024-08-11,CBE,Google Play
Ooo best app,5,2024-08-11,CBE,Google Play
Very fast and simple transfer app,5,2024-08-11,CBE,Google Play
"The app only work on working hour from 8 am-5pm it dont work at night or early in the morning, why do we need it then...try to fix it.",1,2024-08-10,CBE,Google Play
ITS So easy and fast ✔✔✔✔✔✔✔,5,2024-08-10,CBE,Google Play
"The app is simple, fast, and convenient to use.",4,2024-08-10,CBE,Google Play
Simple and well built,5,2024-08-10,CBE,Google Play
I can't change my pin.😢,4,2024-08-10,CBE,Google Play
My account number All contact,5,2024-08-09,CBE,Google Play
Best up i love it,5,2024-08-09,CBE,Google Play
Very nice and attractive application,5,2024-08-09,CBE,Google Play
It's game changer application,5,2024-08-09,CBE,Google Play
"This has so many bugs and doesn't update transaction logs in time, to make it worse it shows error message when you send money but deducts from account at same time but never lets you know that the transaction was successful. And it has very annoying greeting notification.",2,2024-08-09,CBE,Google Play
So simple to use and Easier than even MB,5,2024-08-09,CBE,Google Play
Best app i really like it,5,2024-08-09,CBE,Google Play
Wow Nice App,5,2024-08-08,CBE,Google Play
Wow absolutely best app,5,2024-08-08,CBE,Google Play
Not wotking properly & shows payment failed but already sent z found . this is so bad for country bank app😂,1,2024-08-08,CBE,Google Play
በጣም አስደሳች ነው ግን transfer to own Tellbire የሚለው ላይ transfer ot other Tellbire የሚል ቢጨመር,5,2024-08-08,CBE,Google Play
Best mobile app ever,5,2024-08-08,CBE,Google Play
very very best,5,2024-08-08,CBE,Google Play
That's is really good 👍 I like CBE,5,2024-08-08,CBE,Google Play
አንደኛ ነው ፈጣን ምቹ ቀላል ሳልነካው አልውልም #1ኛነው,5,2024-08-07,CBE,Google Play
Fahti Kamaal,1,2024-08-07,CBE,Google Play
compaatble cbe,5,2024-08-07,CBE,Google Play
Very poor and very disgusting,1,2024-08-06,CBE,Google Play
Ok Bankii daladalaa Itoophayaa Anii noor mobile banking barbadaa,3,2024-08-06,CBE,Google Play
ለአጠቃቀም ቀላል የሆነ አሪፍ አፕ ነዉ።,5,2024-08-06,CBE,Google Play
Best app for using and time saving,5,2024-08-06,CBE,Google Play
So very important app very useful.,5,2024-08-06,CBE,Google Play
"Nice app but became inactive after being zippad &released ,plse solve such silly problem",5,2024-08-05,CBE,Google Play
"Always says can't synchronize, while I have active internet access",1,2024-08-05,CBE,Google Play
This app is exceptionally fantastic!! Keep updating it!!,5,2024-08-05,CBE,Google Play
It is my choice,5,2024-08-05,CBE,Google Play
Download our app:,5,2024-08-04,CBE,Google Play
my mobile banking account app blocked please open Borana Zone yabello,5,2024-08-03,CBE,Google Play
Good app but it not allowed me to link my ac with walet,4,2024-08-03,CBE,Google Play
This app is smart and simple to use.,5,2024-08-03,CBE,Google Play
Dobuony bandak jock,5,2024-08-03,CBE,Google Play
its very fast and active app,1,2024-08-03,CBE,Google Play
amezing app!!,3,2024-08-03,CBE,Google Play
it was good but it has some error by connection......,5,2024-08-02,CBE,Google Play
Ow 🤞🤞🤞 cbe app mobanking,4,2024-08-02,CBE,Google Play
Very nice application please add additional language commercial bank of Ethiopia back bone of Ethiopian economy,5,2024-08-02,CBE,Google Play
It is really nice application helped me a lot.,5,2024-08-02,CBE,Google Play
I have one year experience.,5,2024-08-01,CBE,Google Play
Easy to use and also fast,5,2024-08-01,CBE,Google Play
"All those service interruptions... , When you update it stops working and to start using an new appliance you need to go to the bank to activate it... uff...",1,2024-08-01,CBE,Google Play
Revolutionized ethiopian banking industry to another level I was amazed how it made contact my family easily,5,2024-08-01,CBE,Google Play
It's not appropriate for Play store,1,2024-08-01,CBE,Google Play
Fast and easy but there is delayance in refreshing,5,2024-08-01,CBE,Google Play
"Not opening the account, very late",2,2024-08-01,CBE,Google Play
Poor app please upgrade it Example add transfering to telebirr agent,1,2024-08-01,CBE,Google Play
Why not access in galaxy s7 edge??,5,2024-07-31,CBE,Google Play
Hamza kamal and,3,2024-07-30,CBE,Google Play
very good app,5,2024-07-30,CBE,Google Play
why dont u referesh ???,5,2024-07-30,CBE,Google Play
Commercial bankof ETheiopia,5,2024-07-29,CBE,Google Play
Nice app and always use.,5,2024-07-29,CBE,Google Play
Great mobile banking app,5,2024-07-29,CBE,Google Play
appu በጣም ቀላል ላጠቃቀም ምቹ ሆኖ አጊቼዋለው እንደአስተያየት ሚስጥር ቁጥር ስናስገባ 4 digit ያለው ቁጥር ነው ምናስገባው በተጨማሪ በአሻራ እና በ ፌስ ስካን በማድረግ ብትጨምሩ,5,2024-07-28,CBE,Google Play
Very nice but network plm,5,2024-07-28,CBE,Google Play
Very very limited service,3,2024-07-28,CBE,Google Play
"Make it like telebirr, internet service fee free",3,2024-07-28,CBE,Google Play
Thank very much,5,2024-07-27,CBE,Google Play
Cbe mobile banking is very active. Thank you!,5,2024-07-27,CBE,Google Play
Subscription,5,2024-07-27,CBE,Google Play
ምርጥ አፕልኬሽን ጊዜንም ገንዘብም የሚቆጥብ,5,2024-07-27,CBE,Google Play
Very simple and fast,5,2024-07-27,CBE,Google Play
Its the bast application in my country,5,2024-07-27,CBE,Google Play
awonderful app,5,2024-07-27,CBE,Google Play
Right choice.,5,2024-07-27,CBE,Google Play
የመተግበሪያው የይለፍ ቃል በተጨማሪ የጣት አሻራ ቢኖረው።,4,2024-07-26,CBE,Google Play
its a disaster really,1,2024-07-26,CBE,Google Play
Xilaun tadel,5,2024-07-25,CBE,Google Play
Good application,5,2024-07-25,CBE,Google Play
Exceptional,5,2024-07-25,CBE,Google Play
It is not fast,1,2024-07-25,CBE,Google Play
Good application and Best for use,5,2024-07-25,CBE,Google Play
I like this app,5,2024-07-24,CBE,Google Play
Nice app considering what is out in the market in Ethiopian banking it can be better regarding no. Of recent transaction to display,5,2024-07-24,CBE,Google Play
No safaricom network,1,2024-07-23,CBE,Google Play
like Commercial Bank Ethiopia,5,2024-07-23,CBE,Google Play
its not working properly boring app ever,1,2024-07-23,CBE,Google Play
Very nice app,5,2024-07-23,CBE,Google Play
በጣም አሪፍ ሁሌ የሚተማመኑበት ባንክ ነው,5,2024-07-22,CBE,Google Play
It's fast and secure,5,2024-07-22,CBE,Google Play
Muluken mekonen abrbe,5,2024-07-22,CBE,Google Play
Jafer Ahmed umer,5,2024-07-22,CBE,Google Play
Very fast and efficient application.,5,2024-07-21,CBE,Google Play
it's good work,5,2024-07-21,CBE,Google Play
Amazing app,5,2024-07-21,CBE,Google Play
I like this app,5,2024-07-21,CBE,Google Play
This is very helpfull app. It workes for me even whil i am abroud. Good job CBE !!!,5,2024-07-21,CBE,Google Play
ገቢ እና ወጪን ይዘላል.. አስተካክሉት,2,2024-07-20,CBE,Google Play
Please protect my security and protect my rewards because some body tries hack me!!,5,2024-07-20,CBE,Google Play
I like this apps,5,2024-07-19,CBE,Google Play
It was verified and important apps but some customer service officer did know how to verifying,5,2024-07-19,CBE,Google Play
"I have not seen anything like it in the Ethiopian banking industry. It is very easy to use, fast, and offers a wide range of services. However, I would like to suggest a future modification: currently, the app only displays transactions for one month. It would be beneficial if it could show transactions for more than one month, including yearly transactions. Please consider this request. Thank you, Commercial Bank of Ethiopia, for this innovative app.",5,2024-07-19,CBE,Google Play
Why app don't work,5,2024-07-19,CBE,Google Play
"This app is very good. But, Sometimes it doesn't work properly by the problem of network.",4,2024-07-19,CBE,Google Play
It's Nice app ever!!!,5,2024-07-19,CBE,Google Play
Bareeda Garuu maaliifi haqaadeema nagahee duraa,5,2024-07-19,CBE,Google Play
I am Delighted to being the member of this leading Bank!,5,2024-07-18,CBE,Google Play
Maliif bakka jalqaba account bananne malee Hojiin egalchiisuun hin dandaamu?,5,2024-07-18,CBE,Google Play
No 1 banking application in Ethiopia,5,2024-07-17,CBE,Google Play
Wenderfull I loved it so much!!!!!,5,2024-07-17,CBE,Google Play
It's good app for me,1,2024-07-16,CBE,Google Play
Good service but need imrove mostly bcause some times no work,4,2024-07-16,CBE,Google Play
ABDISA MOHAMMED I can get 4hf my friend how are you feeling I hope my friend is coming up with you tomorrow at the same place you can get it done before the election results I think we need to we can do it together my friend how are things going for my friend,1,2024-07-15,CBE,Google Play
"Very poor, not connect properly, deduct money with out report",1,2024-07-15,CBE,Google Play
Refek neser,5,2024-07-15,CBE,Google Play
Good service,5,2024-07-15,CBE,Google Play
"Yesterday, system hackers have taken money out of my CBE account due to problems related with the CBE BIRR SMS and internet banking systems.You must further increase security of the system.I am willing to give further details if necessary. System hackers have unlocked the programning of cash transfer, I understood.",1,2024-07-15,CBE,Google Play
amisalesh banica,5,2024-07-15,CBE,Google Play
It good.but there gambler's in using mobile banking I lose 5000birr.,5,2024-07-14,CBE,Google Play
"""get your verification code from your nearest branch"" ia the first amazing dialogue your face, when you try to setup your CBE App. It is a way back system that requires you to go physically. You should have sent a verification codes either via phone number or email address. You better change this analogue system to the digital one! 😀",2,2024-07-13,CBE,Google Play
unable to access my account in the US.,1,2024-07-13,CBE,Google Play
It is easy to use.,5,2024-07-13,CBE,Google Play
Fast service,5,2024-07-13,CBE,Google Play
about inactive solutions want be!!!,1,2024-07-13,CBE,Google Play
አረ ወጪ ገቢዬን በስርአት አሳዪኝ 🙏🙏🙏 ሂሳቦች ብሎ የሚያመጣው የተዘበራረቀ,3,2024-07-12,CBE,Google Play
Its easy and comfortable thanks,5,2024-07-12,CBE,Google Play
Excellent bank,5,2024-07-11,CBE,Google Play
it a great app and it really made ma day,5,2024-07-11,CBE,Google Play
its goid app,5,2024-07-11,CBE,Google Play
Best application for transition,5,2024-07-11,CBE,Google Play
Good experience,5,2024-07-10,CBE,Google Play
Mohamedahmed224mohamed ahmed,5,2024-07-10,CBE,Google Play
I like all service,1,2024-07-10,CBE,Google Play
ከፒን ይልቅ በአሻራ እንዲከፈት ማረግ አለባቹሁ።,1,2024-07-10,CBE,Google Play
Good app compared with other bank app,5,2024-07-10,CBE,Google Play
Proud to be CBE's Customer,5,2024-07-10,CBE,Google Play
Very interesting application and very useful .,5,2024-07-09,CBE,Google Play
Too best to did,5,2024-07-08,CBE,Google Play
"Very good app, but why we don't see the statements?",4,2024-07-08,CBE,Google Play
Letebrhan leteberhan,5,2024-07-07,CBE,Google Play
Good and comfortable,5,2024-07-07,CBE,Google Play
ሃሪፈ አብሌኬሺን ሰለሆነ ይጠቀሙ,5,2024-07-06,CBE,Google Play
Very faster than ussd mode,5,2024-07-06,CBE,Google Play
could not see balance and account to account t not working,3,2024-07-06,CBE,Google Play
A life Time,2,2024-07-06,CBE,Google Play
It is stable and safe.,5,2024-07-06,CBE,Google Play
8838𝑒𝑎 935🄹🅄🆀😃😃😃😃፨፨፨፨ገ😃፨፧፨ቸዟዟዞ😂😂😂 😁😁🅿😀😅😁😁😁😁,2,2024-07-06,CBE,Google Play
I don't agreed what you are doing on my account regarding of commission payment of this apk. bcz I'm paying for transfer to other so why commission pyt is necessary or tell us and we can go to other banks if your users more bigger than you think 🙄 Is it 5birr is balance pls diminish it,1,2024-07-05,CBE,Google Play
this is good app,5,2024-07-05,CBE,Google Play
It is really a great app.,5,2024-07-05,CBE,Google Play
Very stupid service bank,1,2024-07-05,CBE,Google Play
"Splendid, fast and accurate service",5,2024-07-05,CBE,Google Play
the best one❤,5,2024-07-04,CBE,Google Play
Best application,5,2024-07-04,CBE,Google Play
Its very nice app,5,2024-07-04,CBE,Google Play
CBE The Ethiopian Nations Bank.,5,2024-07-04,CBE,Google Play
Perfect & good too work at,5,2024-07-03,CBE,Google Play
Sometimes delayed,3,2024-07-03,CBE,Google Play
Fast and user friendly app,5,2024-07-03,CBE,Google Play
Really great banking app,5,2024-07-02,CBE,Google Play
That is the trusted bank In Ethiopia 🇪🇹,5,2024-07-02,CBE,Google Play
absolute poor.,1,2024-07-02,CBE,Google Play
Very nice app i never seen such flexible,3,2024-07-02,CBE,Google Play
no network for today why,1,2024-07-02,CBE,Google Play
"Poor application. Let me list down if you could update the main features. It say error while the money has already sent. We can't get the transaction record (it has limited date) or somtimes the listed record transactions and the details are not the same while we enter to see further details. So if you can, try to see telebirr application and how much simple it is then try to update frequently.",1,2024-07-02,CBE,Google Play
Easy and fast to use this apps. Only you have to add to transfer others telebirr! Thanks CBE,5,2024-07-01,CBE,Google Play
Easy to use and well functioning with limited Internet access. Fantastic app.,5,2024-07-01,CBE,Google Play
CBE mobail Banking is very good.,5,2024-07-01,CBE,Google Play
It is a good app,4,2024-07-01,CBE,Google Play
It's essentially for an easy life.,3,2024-07-01,CBE,Google Play
It's the best in Ethiopia,5,2024-06-30,CBE,Google Play
Very good app & constant ever,5,2024-06-30,CBE,Google Play
The best one,5,2024-06-30,CBE,Google Play
The screen shot doesn't work.,2,2024-06-30,CBE,Google Play
It is greatly helpful if upgraded to work offline like *889#.,5,2024-06-30,CBE,Google Play
i am tesfalegn,4,2024-06-29,CBE,Google Play
የማያጠቅም ባንክ👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎,1,2024-06-29,CBE,Google Play
Taliilaa gutaa Dhugoo xiqii,5,2024-06-29,CBE,Google Play
Wow amazing to this app,5,2024-06-28,CBE,Google Play
Its good aplication make it easy my money transfer and make it more secure,5,2024-06-27,CBE,Google Play
"It is best, recommend you guys to use.",5,2024-06-27,CBE,Google Play
Woow its good app for All banking service,5,2024-06-27,CBE,Google Play
Muhammad Kadire Mahamad,5,2024-06-26,CBE,Google Play
I says thanks,1,2024-06-26,CBE,Google Play
Really satisfying app,5,2024-06-26,CBE,Google Play
The Best Mobile Banking App,5,2024-06-26,CBE,Google Play
"The app is very nice to use but why you guys are cutting 10birr for each transaction to telebirr? Please, consider all market segments, there are students and labour workers. We all are not that rich 10birr+ service fee to be cut. CBE please, consider these thing.",3,2024-06-25,CBE,Google Play
Good job. Invest and invent more!,5,2024-06-25,CBE,Google Play
Passport payment,1,2024-06-25,CBE,Google Play
Nice one of and to be able skills in a good time for me and the first half of all time taking,5,2024-06-25,CBE,Google Play
"couldn't view receipt & can not get help, no telephone contacts. etches",2,2024-06-25,CBE,Google Play
It's perfect,5,2024-06-24,CBE,Google Play
I didn't like the topup system writings of phone number part,3,2024-06-24,CBE,Google Play
Nice app !!but not tomuch,4,2024-06-24,CBE,Google Play
More or less it is Good Application.Go Ahead.,5,2024-06-24,CBE,Google Play
Mikias Gitom,5,2024-06-23,CBE,Google Play
ጥሩ ነው ነገር ግን አብዛኛውን ጊዜ Transaction History አይመዘግብም አልፎ አልፎ አንዳንድ ቢያስቀምጥ እንኳ Order/በቅድምተከተል አይቀመጥም በተጨማሪ Message ያልደረም ከሆነ በጠም አስቸጋሪ ከመሆኑም በላይ በስራችን ላይ ጫና እያደረሰብን ነው ከደንበኞች በቀላሉ መገበያየት አስቻጋሪ ነው እና ይህ ይስተካከል እንላለን !!,2,2024-06-23,CBE,Google Play
I dont know when it works and dont but its not working more than working,1,2024-06-22,CBE,Google Play
Cbe mobile app number one,5,2024-06-21,CBE,Google Play
"It nice app,but it's not working using wifi ,if you can try to fix .",5,2024-06-21,CBE,Google Play
Nice application,5,2024-06-21,CBE,Google Play
amazing app,5,2024-06-21,CBE,Google Play
Fast an easy to use,5,2024-06-21,CBE,Google Play
MUMe hasenhusen,5,2024-06-20,CBE,Google Play
እ. ብ. ጥ. ነው,5,2024-06-20,CBE,Google Play
Keep walking with technology,5,2024-06-19,CBE,Google Play
CBE mobile banking now becoming the best.,5,2024-06-19,CBE,Google Play
What a nice app for business man thanks CBE,5,2024-06-18,CBE,Google Play
Very important!,5,2024-06-17,CBE,Google Play
There is a glitch regarding the transaction history. Recent transaction history are browsed almost after a day. Which makes it very inconvenient for the users.,2,2024-06-16,CBE,Google Play
It is user friendly app,5,2024-06-16,CBE,Google Play
Very good application,5,2024-06-15,CBE,Google Play
My password,5,2024-06-15,CBE,Google Play
"One of the poorest app for 2 main reasons 1-works only with internet connection 2-Even with best internet acess, it usally says failed synchronization .",1,2024-06-15,CBE,Google Play
Wow this App 👏 👌,5,2024-06-15,CBE,Google Play
Fast and secure,5,2024-06-14,CBE,Google Play
"Fast, user-friendly, easy-to-use",5,2024-06-14,CBE,Google Play
It's not so much fast,1,2024-06-14,CBE,Google Play
app bayyee si'atafi baredadha,5,2024-06-13,CBE,Google Play
Only smart!!!!,5,2024-06-13,CBE,Google Play
ከሃገር ውጭ ላለው ዜጋ በምን አይነት መልኩ አካውንት ሊከፍት ይችላል,5,2024-06-13,CBE,Google Play
Really very comfortable application!,5,2024-06-13,CBE,Google Play
Great and simple to use.,5,2024-06-12,CBE,Google Play
The worst app,1,2024-06-12,CBE,Google Play
electronics maintenance🤐,5,2024-06-11,CBE,Google Play
It was ok but resently it has become unuseable to say the list. It does not sincronise and I have not been able to make use of it.,1,2024-06-10,CBE,Google Play
"Improve the transaction history it misleading when you don't update the transaction correctly, and make it record the monthly Fee that deducted from our account, at this point the messages are more reliable",3,2024-06-08,CBE,Google Play
This so good! But some time it's not work.!,3,2024-06-08,CBE,Google Play
It's the worst app ever,1,2024-06-08,CBE,Google Play
lelisa sabsibe photo,5,2024-06-07,CBE,Google Play
I S I N J A A L A T A M T O T A,5,2024-06-05,CBE,Google Play
Fast and reliable service,5,2024-06-05,CBE,Google Play
fast and very easy to use.,5,2024-06-05,CBE,Google Play
Fast service,5,2024-06-05,CBE,Google Play
አንጋፋውና የአገሪቱ ዋልታ የኢትዮጵያ ንግድ ባንክ ችግሮቹን እየፈቻ ወደፊት እንደሚገሰግስ ባለሙሉ ቸስፋ ነኝ ክብር ለሚገባው ክብር እንስጥ,5,2024-06-05,CBE,Google Play
Recent transactions are all mixed up Rtgs doesn't show up for confirmation or in texts,1,2024-06-04,CBE,Google Play
Jamsi for make,5,2024-06-03,CBE,Google Play
Nice but please active always.,4,2024-06-03,CBE,Google Play
Nuradin mahamad abdala,4,2024-06-03,CBE,Google Play
Its good i like it,5,2024-06-03,CBE,Google Play
Best apk ever,5,2024-06-01,CBE,Google Play
Poorly functioning,1,2024-06-01,CBE,Google Play
Excellent app,4,2024-06-01,CBE,Google Play
This application is very useful and incredible especially by it's speed.,5,2024-05-31,CBE,Google Play
"it said ""None available""",1,2024-05-31,CBE,Google Play
"it's very good and fast application sometimes there is a little bit of congestion,fix it.",5,2024-05-31,CBE,Google Play
"If It fails, you become the richest person over night. 😊",5,2024-05-30,CBE,Google Play
Best App but it doesn't show me the debited birr and the right balance,5,2024-05-30,CBE,Google Play
Something else to eat it,3,2024-05-30,CBE,Google Play
very good app but the transaction and deposit day some times wrong!,5,2024-05-30,CBE,Google Play
This app is more relable and good to use .,4,2024-05-30,CBE,Google Play
very fast and secured app for my money,5,2024-05-29,CBE,Google Play
Best and easy,5,2024-05-29,CBE,Google Play
Shek Usmail Ahmad,5,2024-05-28,CBE,Google Play
Easy to use and a lot of functionalities! Keep your eyes on two things: 1. The transactions shown in the Recent section are messed up (every time I refresh it it shows different output of order and messed transaction list) 2. What if we can transfer to other Telebirr number Finally the transaction fee for transfers made other than CBE acc is expensive.,4,2024-05-28,CBE,Google Play
ይህ አፕ በጣም አጋዥ ስራን ሚያፋጥን ነው ግን ያለፈውን ሙሉ ታሪክ አያሳይም,5,2024-05-26,CBE,Google Play
the app not fast enough,5,2024-05-26,CBE,Google Play
It make's life simple and easy keep it up!,5,2024-05-25,CBE,Google Play
I wish your help,5,2024-05-25,CBE,Google Play
Bad and bad application,1,2024-05-24,CBE,Google Play
"Yaaa ,a nice app",5,2024-05-24,CBE,Google Play
Daily internal account to account transfer must be amended since its internal transactions,4,2024-05-24,CBE,Google Play
Very Good Service,5,2024-05-24,CBE,Google Play
Andualem akifle,5,2024-05-23,CBE,Google Play
Why is it not working well it is not even showing me the money I have,5,2024-05-23,CBE,Google Play
This app is not working other bank,2,2024-05-22,CBE,Google Play
Samsung A31,1,2024-05-22,CBE,Google Play
Applicationu arf new gn andande yaschegiral ahuninm hizbu benante bedemb eskireka mesrat new plus be meskot yemiseru serategnoch ke lela bank sinetsatser le dembegna kibir yelachewm endefelegut new yemiaerut +telebirr only own telebirr bicha bayhon le leloch yeminilikibet amarach bifeter...Thanks,4,2024-05-22,CBE,Google Play
Excellent app,5,2024-05-21,CBE,Google Play
there is no statement or transaction history its basic thing,5,2024-05-21,CBE,Google Play
very good👍🏾👍🏾👍🏾👍🏾👍🏾👍🏾👍🏾👍🏾👍🏾,5,2024-05-21,CBE,Google Play
Is excellent i ever seen,5,2024-05-21,CBE,Google Play
Best financial app,5,2024-05-20,CBE,Google Play
"Can got 0 ⭐ Please ! this App is completely Scam Becouse I made payment in other bank option in the App but the APP (-) mY BALANCE BUT NO successful notification to get screen shoot, no SMS and no Transaction history and I alerdy lost my mony becous my clint also does not get the mony i sent! I pay but I didn't got mony! stey away frim CBE",1,2024-05-19,CBE,Google Play
"It is nice app, but I couldn't see back transactions, it is restricted for recent transactions only.",3,2024-05-19,CBE,Google Play
I like this application and It's very useful,1,2024-05-19,CBE,Google Play
"The app is functional with some failures, need much work on the user experience.",3,2024-05-19,CBE,Google Play
"I am a business man i use this app long time, but it is very poor there is no filter to search the transactions of one Acc. If want to now how many times i send or receive.",1,2024-05-19,CBE,Google Play
The app doesn't support amharic characters For writing payment reason. It suppose to support writing in amharic(geez) alphabet,2,2024-05-18,CBE,Google Play
It is a good app. It only requires the account holder to use it regularly. It will be better if you make it available every time the user needs it whether he uses it regularly or not. Why is it closed?,5,2024-05-18,CBE,Google Play
"Simple, fast and secure",5,2024-05-17,CBE,Google Play
"It is helpful app which can be used easily but one important thing, when you send or receive a money it does not appear the hour and the minutes. You don't know if it is afternoon or morning. It is better the receipt to have date and time.",4,2024-05-17,CBE,Google Play
I Like the Apps,5,2024-05-17,CBE,Google Play
Very good apps. Thus help other for thier problem.,5,2024-05-17,CBE,Google Play
It's very interesting,4,2024-05-17,CBE,Google Play
Cbe provides a greatest mobile banking service in Ethiopia.,4,2024-05-17,CBE,Google Play
Bast app I know I don't forget this app in my bank account,5,2024-05-16,CBE,Google Play
Best application,5,2024-05-16,CBE,Google Play
Nuguse hanku,5,2024-05-15,CBE,Google Play
Short and Great app,5,2024-05-15,CBE,Google Play
Ilove this app easy use,5,2024-05-15,CBE,Google Play
"Recent service fee change is ridiculous. Plus making transfer to other banks and Telebirr wallet is even crazier. You suppose to be an exemplary institution, but you are doing the opposite.",2,2024-05-14,CBE,Google Play
Hulem yemitemamenibet bank new,5,2024-05-14,CBE,Google Play
Best of best apk,5,2024-05-13,CBE,Google Play
Best App but how can i use more two or more CBE app in one app.,5,2024-05-13,CBE,Google Play
Talented man,5,2024-05-13,CBE,Google Play
This app have no fingerprints unlock and have problem with safaricom topup,1,2024-05-13,CBE,Google Play
"Amazing, very friendly and awesome application. Only one drwaback is that you are not willy to make it active after blocking the mobile banking via 951. I am not still using once blocked. You send me to the branch banks but they don't have enough skill to help.",5,2024-05-12,CBE,Google Play
Good app but it fail to send on time the commission money is unnecessary and also their are some bug like recent transaction page don't show the recent one ...... Try to improve it's back system as a bank system people want it in different situations so it has to work every time as could as possible if you don't get it when you want why we use mobile banking not branch service as I conclusion personally I like the bank because it is CBE but not their digital banking system Thanks,2,2024-05-12,CBE,Google Play
"Amazing App. But sometimes the app won't show the account balance. It says ""no accounts available""",5,2024-05-12,CBE,Google Play
አሪፍ ነው አፑ ግን አዘምኑት ከ ፒን ውጪ የጣት አሻራ ቢኖረው አሪፍ ነው,5,2024-05-12,CBE,Google Play
"Best prgresive app, and good fetures",5,2024-05-12,CBE,Google Play
I am comfortable,5,2024-05-11,CBE,Google Play
It's fantastic app,4,2024-05-11,CBE,Google Play
One of the best bank,5,2024-05-11,CBE,Google Play
"This app is very nice, it eases complicated services. The only thing the developer to modify is the app doesn't show recent credit as soon as the credit seen by text message",5,2024-05-10,CBE,Google Play
Caalaamahammad,5,2024-05-10,CBE,Google Play
Good content but some times sent money but on pending,4,2024-05-10,CBE,Google Play
It is a very weak app it does not even show transaction history. If there are 3 transactions in a day it shows two and does not show the rest.,1,2024-05-09,CBE,Google Play
It is very important apk.,5,2024-05-09,CBE,Google Play
It is amazing app,5,2024-05-09,CBE,Google Play
Itis excellent application i ever seen i Ethiopia! But if biometric is added it more usable ! Thank you!,5,2024-05-09,CBE,Google Play
Mobile banking,5,2024-05-09,CBE,Google Play
Very huge and amazing banking sistem,5,2024-05-08,CBE,Google Play
CBE juneydi alii,5,2024-05-08,CBE,Google Play
When pressing the download screen shot it downloads it two times please fix it,3,2024-05-08,CBE,Google Play
Asitemamagn yebank agar,5,2024-05-08,CBE,Google Play
Try to make simple more and more to fit with the need of customer's And try to make secure even if the customer use the app incorrectly ok thank you,5,2024-05-07,CBE,Google Play
I Was a customor of comricial bank of ethiopia,5,2024-05-07,CBE,Google Play
𝑻𝒉𝒊𝒔 𝒂𝒑𝒑𝒍𝒊𝒄𝒂𝒕𝒊𝒐𝒏 𝒊𝒔 𝒗𝒆𝒓𝒚 𝒈𝒐𝒐𝒅,4,2024-05-07,CBE,Google Play
It's golden,5,2024-05-06,CBE,Google Play
It is very best app,5,2024-05-06,CBE,Google Play
Poor Bank Poor banking system Poor app,1,2024-05-06,CBE,Google Play
Amazing app I ever see in this territory,5,2024-05-05,CBE,Google Play
Very good 😊 but it have errors,3,2024-05-05,CBE,Google Play
Ana taanan 0 turee oso jiraate,1,2024-05-05,CBE,Google Play
Sadam Dafhj,1,2024-05-05,CBE,Google Play
"CBE Mobile banking app is very easy, simple and full of technology. I thank the innovator of this system🙏🙏🙏🙏",5,2024-05-04,CBE,Google Play
how to use?,1,2024-05-04,CBE,Google Play
Ayalew Asefa weledemichel /አያሌው አሰፋ ወ/ሚካኤል,1,2024-05-04,CBE,Google Play
Cbe ye mafia leba yhehinu nachew hidden fee ykortalu transfer lay ye wsha ljoch,1,2024-05-03,CBE,Google Play
አንዳንዴ የቀሪ ሒሳብ ዝርዝር አያሳይም ከዛ ውጪ i love it .😍. !,5,2024-05-03,CBE,Google Play
It is nice app & simple to use it,4,2024-05-03,CBE,Google Play
Good oppotion.,5,2024-05-03,CBE,Google Play
Excellent app thanks CBE,5,2024-05-02,CBE,Google Play
"It is a very nice and easy app to use. There is only one thing i would like you to add. If you could transfer from your account to another person's telebirr account, it only works to your own phone number",5,2024-05-02,CBE,Google Play
Amazing app !!,5,2024-05-02,CBE,Google Play
Nice application but not work properly on iphone,5,2024-05-01,CBE,Google Play
Good and easily application thanks,5,2024-05-01,CBE,Google Play
"Unable to use the app for around a month! (It cames with an error message ""None available"" everytime I try to transfer). What a Worst app!!!",1,2024-05-01,CBE,Google Play
this updated version is ANNOYING!! Doesn't work at all!! 😡👺🤬😾,1,2024-05-01,CBE,Google Play
have no option for transaction export,1,2024-05-01,CBE,Google Play
Great !!! I am happy for this app.,5,2024-05-01,CBE,Google Play
